,sequence,probability,state
125,Ti/DC/B-/B2/X/V1/NC/B4/V2/OL/RB,0.0,n
126,Ti/DC/B-/B2/X/V1/NC/B4/V2,0.0,n
127,Ti/DC/B-/B2/X/V1/NC/B4,0.0,n
128,Ti/DC/B-/B2/X/V1/NC/B4/RB,0.0,n
129,Ti/DC/B-/B2/X/V1/NC/V2,0.0,n
130,Ti/DC/B-/B2/X/V1/NC/V2/OL/RB,0.0,n
131,Ti/DC/B-/B2/X/V1/NC/V2/OL,0.0,n
132,Ti/DC/B-/B2/X/V1/NC,0.0,n
133,Ti/DC/B-/B2/X/V1/NC/RB,0.0,n
134,Ti/DC/B-/B2/X/V1/NC/LM,0.0,n
135,Ti/DC/B-/B2/X/V1/NC/LM/RB,0.0,n
136,Ti/DC/B-/B2/X/V1,0.0,n
137,Ti/DC/B-/B2/X/SF/V1/V2,0.0,n
138,Ti/DC/B-/B2/X/SF/V1/V2/OL,1.6303758239999995e-09,n
139,Ti/DC/B-/B2/X/SF/V1/V2/OL/RB,4.0759395599999986e-10,n
140,Ti/DC/B-/B2/X/SF/V1,1.6140720657599994e-07,n
141,Ti/DC/B-/B2/X/SF/V1/RB,4.0351801643999986e-08,n
142,Ti/DC/B-/B2/X/SF/V1/B4/RB,2.0997264399999996e-09,n
143,Ti/DC/B-/B2/X/SF/V1/B4,8.398905759999998e-09,n
144,Ti/DC/B-/B2/X/SF/V1/B4/V2,0.0,n
145,Ti/DC/B-/B2/X/SF/V1/B4/V2/OL,7.559015184e-08,n
146,Ti/DC/B-/B2/X/SF/V1/B4/V2/OL/RB,1.889753796e-08,n
147,Ti/DC/B-/B2/X/SF/V1/LM,2.4702663999999994e-07,n
148,Ti/DC/B-/B2/X/SF/V1/LM/RB,6.175665999999999e-08,n
149,Ti/DC/B-/B2/X/SF/V1/OE,1.8739952e-07,n
150,Ti/DC/B-/B2/X/SF/V1/OE/RB,4.684988e-08,n
151,Ti/DC/B-/B2/X/SF,0.0,n
152,Ti/DC/B-/B2/X/SF/RB,0.0,n
153,Ti/DC/B-/B2/X/SF/B4,0.0,n
154,Ti/DC/B-/B2/X/SF/B4/RB,0.0,n
155,Ti/DC/B-/B2/X/SF/LM,0.0,n
156,Ti/DC/B-/B2/X/SF/LM/RB,0.0,n
157,Ti/DC/B-/B2,-0.0,n
158,Ti/DC/B-/B2/NC/LM,0.0,n
159,Ti/DC/B-/B2/NC/LM/RB,0.0,n
160,Ti/DC/B-/B2/NC/RB,0.0,n
161,Ti/DC/B-/B2/NC,0.0,n
162,Ti/DC/B-/B2/NC/B4,0.0,n
163,Ti/DC/B-/B2/NC/B4/RB,0.0,n
164,Ti/DC/B-/B2/V1/NC/LM,0.0,n
165,Ti/DC/B-/B2/V1/NC/LM/RB,0.0,n
166,Ti/DC/B-/B2/V1/NC/B4,0.0,n
167,Ti/DC/B-/B2/V1/NC/B4/RB,0.0,n
168,Ti/DC/B-/B2/V1/NC/B4/V2,0.0,n
169,Ti/DC/B-/B2/V1/NC/B4/V2/OL,0.0,n
170,Ti/DC/B-/B2/V1/NC/B4/V2/OL/RB,0.0,n
171,Ti/DC/B-/B2/V1/NC/RB,0.0,n
172,Ti/DC/B-/B2/V1/NC,0.0,n
173,Ti/DC/B-/B2/V1/NC/V2,0.0,n
174,Ti/DC/B-/B2/V1/NC/V2/OL,0.0,n
175,Ti/DC/B-/B2/V1/NC/V2/OL/RB,0.0,n
176,Ti/DC/B-/B2/V1,0.0,n
177,Ti/DC/B-/B2/SF/V1/LM,0.0,n
178,Ti/DC/B-/B2/SF/V1/LM/RB,0.0,n
179,Ti/DC/B-/B2/SF/V1/V2/OL,0.0,n
180,Ti/DC/B-/B2/SF/V1/V2/OL/RB,0.0,n
181,Ti/DC/B-/B2/SF/V1/V2,0.0,n
182,Ti/DC/B-/B2/SF/V1,0.0,n
183,Ti/DC/B-/B2/SF/V1/RB,0.0,n
184,Ti/DC/B-/B2/SF/V1/B4,0.0,n
185,Ti/DC/B-/B2/SF/V1/B4/RB,0.0,n
186,Ti/DC/B-/B2/SF/V1/B4/V2,0.0,n
187,Ti/DC/B-/B2/SF/V1/B4/V2/OL,0.0,n
188,Ti/DC/B-/B2/SF/V1/B4/V2/OL/RB,0.0,n
189,Ti/DC/B-/B2/SF,0.0,n
190,Ti/DC/B-/B2/SF/RB,0.0,n
191,Ti/DC/B-/B2/SF/B4/RB,0.0,n
192,Ti/DC/B-/B2/SF/B4,0.0,n
193,Ti/DC/B-/B2/SF/LM,0.0,n
