,sequence,probability,state,Ti/BO/U,Ti/BO/U cd,Ti/DC,Ti/DC cd,,,,,,Ti/BO/U split fraction,,
126,Ti/DC/B-/B2/X/V1/NC/B4/V2,0,n,0,0,0,0,,,,,,,,
127,Ti/DC/B-/B2/X/V1/NC/B4,0,n,0,0,0,0,,,,,,,,
128,Ti/DC/B-/B2/X/V1/NC/B4/RB,0,n,0,0,0,0,,,,,,,,
129,Ti/DC/B-/B2/X/V1/NC/V2,0,n,0,0,0,0,,,,,,,,
130,Ti/DC/B-/B2/X/V1/NC/V2/OL/RB,0,n,0,0,0,0,,,,,,,,
131,Ti/DC/B-/B2/X/V1/NC/V2/OL,0,n,0,0,0,0,,,,,,,,
132,Ti/DC/B-/B2/X/V1/NC,0,n,0,0,0,0,,,,,,,,
133,Ti/DC/B-/B2/X/V1/NC/RB,0,n,0,0,0,0,,,,,,,,
134,Ti/DC/B-/B2/X/V1/NC/LM,0,n,0,0,0,0,,,,,,,,
135,Ti/DC/B-/B2/X/V1/NC/LM/RB,0,n,0,0,0,0,,,,,,,,
136,Ti/DC/B-/B2/X/V1,0,n,0,0,0,0,,,,,,,,
137,Ti/DC/B-/B2/X/SF/V1/V2,0,n,0,0,0,0,,,,,,,,
138,Ti/DC/B-/B2/X/SF/V1/V2/OL,1.630375824E-09,n,0,0,1.630375824E-09,1.630375824E-09,,,,,,,,
139,Ti/DC/B-/B2/X/SF/V1/V2/OL/RB,4.07593956E-10,n,0,0,4.07593956E-10,4.07593956E-10,,,,,,,,
140,Ti/DC/B-/B2/X/SF/V1,1.61407206576E-07,n,0,0,1.61407206576E-07,1.61407206576E-07,,,,,,,,
141,Ti/DC/B-/B2/X/SF/V1/RB,4.0351801644E-08,n,0,0,4.0351801644E-08,4.0351801644E-08,,,,,,,,
142,Ti/DC/B-/B2/X/SF/V1/B4/RB,2.09972644E-09,n,0,0,2.09972644E-09,2.09972644E-09,,,,,,,,
143,Ti/DC/B-/B2/X/SF/V1/B4,8.39890576E-09,n,0,0,8.39890576E-09,8.39890576E-09,,,,,,,,
144,Ti/DC/B-/B2/X/SF/V1/B4/V2,0,n,0,0,0,0,,,,,,,,
145,Ti/DC/B-/B2/X/SF/V1/B4/V2/OL,7.559015184E-08,n,0,0,7.559015184E-08,7.559015184E-08,,,,,,,,
146,Ti/DC/B-/B2/X/SF/V1/B4/V2/OL/RB,1.889753796E-08,n,0,0,1.889753796E-08,1.889753796E-08,,,,,,,,
147,Ti/DC/B-/B2/X/SF/V1/LM,2.4702664E-07,n,0,0,2.4702664E-07,2.4702664E-07,,,,,,,,
148,Ti/DC/B-/B2/X/SF/V1/LM/RB,6.175666E-08,n,0,0,6.175666E-08,6.175666E-08,,,,,,,,
149,Ti/DC/B-/B2/X/SF/V1/OE,1.8739952E-07,n,0,0,1.8739952E-07,1.8739952E-07,,,,,,,,
150,Ti/DC/B-/B2/X/SF/V1/OE/RB,4.684988E-08,n,0,0,4.684988E-08,4.684988E-08,,,,,,,,
151,Ti/DC/B-/B2/X/SF,0,n,0,0,0,0,,,,,,,,
152,Ti/DC/B-/B2/X/SF/RB,0,n,0,0,0,0,,,,,,,,
153,Ti/DC/B-/B2/X/SF/B4,0,n,0,0,0,0,,,,,,,,
154,Ti/DC/B-/B2/X/SF/B4/RB,0,n,0,0,0,0,,,,,,,,
155,Ti/DC/B-/B2/X/SF/LM,0,n,0,0,0,0,,,,,,,,
156,Ti/DC/B-/B2/X/SF/LM/RB,0,n,0,0,0,0,,,,,,,,
157,Ti/DC/B-/B2,0,n,0,0,0,0,,,,,,,,
158,Ti/DC/B-/B2/NC/LM,0,n,0,0,0,0,,,,,,,,
159,Ti/DC/B-/B2/NC/LM/RB,0,n,0,0,0,0,,,,,,,,
160,Ti/DC/B-/B2/NC/RB,0,n,0,0,0,0,,,,,,,,
161,Ti/DC/B-/B2/NC,0,n,0,0,0,0,,,,,,,,
162,Ti/DC/B-/B2/NC/B4,0,n,0,0,0,0,,,,,,,,
163,Ti/DC/B-/B2/NC/B4/RB,0,n,0,0,0,0,,,,,,,,
164,Ti/DC/B-/B2/V1/NC/LM,0,n,0,0,0,0,,,,,,,,
165,Ti/DC/B-/B2/V1/NC/LM/RB,0,n,0,0,0,0,,,,,,,,
166,Ti/DC/B-/B2/V1/NC/B4,0,n,0,0,0,0,,,,,,,,
167,Ti/DC/B-/B2/V1/NC/B4/RB,0,n,0,0,0,0,,,,,,,,
168,Ti/DC/B-/B2/V1/NC/B4/V2,0,n,0,0,0,0,,,,,,,,
169,Ti/DC/B-/B2/V1/NC/B4/V2/OL,0,n,0,0,0,0,,,,,,,,
170,Ti/DC/B-/B2/V1/NC/B4/V2/OL/RB,0,n,0,0,0,0,,,,,,,,
171,Ti/DC/B-/B2/V1/NC/RB,0,n,0,0,0,0,,,,,,,,
172,Ti/DC/B-/B2/V1/NC,0,n,0,0,0,0,,,,,,,,
173,Ti/DC/B-/B2/V1/NC/V2,0,n,0,0,0,0,,,,,,,,
174,Ti/DC/B-/B2/V1/NC/V2/OL,0,n,0,0,0,0,,,,,,,,
175,Ti/DC/B-/B2/V1/NC/V2/OL/RB,0,n,0,0,0,0,,,,,,,,
176,Ti/DC/B-/B2/V1,0,n,0,0,0,0,,,,,,,,
177,Ti/DC/B-/B2/SF/V1/LM,0,n,0,0,0,0,,,,,,,,
178,Ti/DC/B-/B2/SF/V1/LM/RB,0,n,0,0,0,0,,,,,,,,
179,Ti/DC/B-/B2/SF/V1/V2/OL,0,n,0,0,0,0,,,,,,,,
180,Ti/DC/B-/B2/SF/V1/V2/OL/RB,0,n,0,0,0,0,,,,,,,,
181,Ti/DC/B-/B2/SF/V1/V2,0,n,0,0,0,0,,,,,,,,
182,Ti/DC/B-/B2/SF/V1,0,n,0,0,0,0,,,,,,,,
183,Ti/DC/B-/B2/SF/V1/RB,0,n,0,0,0,0,,,,,,,,
184,Ti/DC/B-/B2/SF/V1/B4,0,n,0,0,0,0,,,,,,,,
185,Ti/DC/B-/B2/SF/V1/B4/RB,0,n,0,0,0,0,,,,,,,,
186,Ti/DC/B-/B2/SF/V1/B4/V2,0,n,0,0,0,0,,,,,,,,
187,Ti/DC/B-/B2/SF/V1/B4/V2/OL,0,n,0,0,0,0,,,,,,,,
188,Ti/DC/B-/B2/SF/V1/B4/V2/OL/RB,0,n,0,0,0,0,,,,,,,,
189,Ti/DC/B-/B2/SF,0,n,0,0,0,0,,,,,,,,
190,Ti/DC/B-/B2/SF/RB,0,n,0,0,0,0,,,,,,,,
191,Ti/DC/B-/B2/SF/B4/RB,0,n,0,0,0,0,,,,,,,,
192,Ti/DC/B-/B2/SF/B4,0,n,0,0,0,0,,,,,,,,
193,Ti/DC/B-/B2/SF/LM,0,n,0,0,0,0,,,,,,,,
194,Ti/DC/B-/B2/SF/LM/RB,0,n,0,0,0,0,,,,,,,,
